transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.19668.1	MSTRG.19668	-4.89747648174103	5.39414174174862e-09	-	-	X	1.75559106031057	0.0654686467078379	novel
MSTRG.14432.4	MSTRG.14432	-0.579384719834556	5.70229555772511e-09	X	X	-	6.69964378676563	0.999999795565075	novel
MSTRG.13692.8	MSTRG.13692	-0.667851860993513	6.17688259373598e-09	X	X	-	6.51657810244651	0.994893304809086	novel
MSTRG.28246.1	MSTRG.28246	-2.87991105993349	6.36518105407276e-09	-	-	-	3.01094125623982	0.0270317634863466	novel
MSTRG.9664.7	MSTRG.9664	-1.11747038883453	7.46761411958631e-09	X	X	-	5.02194197610386	0.0482900973133541	novel
MSTRG.17536.19	MSTRG.17536	1.99152146469829	9.63149225566936e-09	-	X	-	3.98914072056147	4.05078592773676e-09	novel
MSTRG.18975.3	MSTRG.18975	0.41805955647993	9.78657309774443e-09	X	X	-	8.98866808532108	0.0498725807501617	novel
MSTRG.22968.14	MSTRG.22968	-0.823837656398947	1.18287120594952e-08	X	-	-	5.75604889121165	0.157733659247522	novel
MSTRG.5952.5	MSTRG.5952	0.642168043072651	1.18287120594952e-08	-	-	-	6.66649727308393	0.999999992918109	novel
MSTRG.4467.1	MSTRG.4467	1.15298844882415	1.31139468071169e-08	X	X	-	5.79558670618786	0.70192195802062	novel
MSTRG.18263.3	MSTRG.18263	0.5633152390181	1.37203166860626e-08	X	X	-	7.81813570987965	0.575078064728105	novel
MSTRG.18601.2	MSTRG.18601	1.14507859808492	1.70272510790595e-08	X	X	-	6.41666110050127	2.77973259892872e-09	novel
MSTRG.3249.4	MSTRG.3249	-0.919854521015326	1.75402929538769e-08	X	X	-	5.74200644441226	0.624638294037649	novel
MSTRG.28293.45	MSTRG.28293	-0.735537837423946	1.810707923804e-08	X	X	-	5.82063487587832	0.762786835646194	novel
MSTRG.19790.3	MSTRG.19790	-0.680343682454499	2.14823798063128e-08	-	X	-	6.1968857866149	0.739872891754234	novel
MSTRG.14450.11	MSTRG.14450	-0.550729809831911	2.19152585201625e-08	-	-	-	6.61564561249442	0.0832602375706667	novel
MSTRG.22582.3	MSTRG.22582	-1.86153703966333	2.41864801750353e-08	X	-	-	4.98464737173185	0.00347621619363601	novel
MSTRG.20833.17	MSTRG.20833	-0.748633797534284	2.51633987031771e-08	X	X	-	7.0278527470143	0.122334049304636	novel
MSTRG.5647.4	MSTRG.5647	-1.58465345845478	2.73962520151305e-08	-	X	-	4.32414864336939	0.779919091827969	novel
MSTRG.18952.9	MSTRG.18952	0.747501425328691	3.03862607781652e-08	-	X	-	6.43802940560955	0.00107722865128401	novel
MSTRG.7286.4	MSTRG.7286	-0.670736405854475	3.18145360891211e-08	X	X	-	6.6914249813407	1	novel
MSTRG.12475.1	MSTRG.12475	-4.13616327622846	3.31802922207921e-08	-	X	-	2.48258248198428	0.00192349926738859	novel
MSTRG.28166.4	MSTRG.28166	-0.633350672205536	3.83339907171965e-08	-	X	-	7.02132681903757	0.177471758937759	novel
MSTRG.12546.3	MSTRG.12546	-0.719729713837113	3.86794468040024e-08	X	X	-	5.82970828833647	0.00482108097110846	novel
MSTRG.19158.3	MSTRG.19158	0.408796550396446	3.94300086281619e-08	-	X	-	9.62019018641247	0.00557765917923662	novel
MSTRG.17662.18	MSTRG.17662	-1.54392188895537	4.04006340065323e-08	X	X	-	8.26808346768227	0.999988602279548	novel
MSTRG.17571.19	MSTRG.17571	0.574913471385004	4.10921471922232e-08	-	-	-	6.51502708533971	0.00156157769650548	novel
MSTRG.15651.3	MSTRG.15651	-1.23509871136234	4.19856356576746e-08	X	X	-	4.72650062045656	0.919259508340182	novel
